Cruise,Station,Date,Longitude,Latitude,BottomDepth,Depth,Temperature,Salinity,Oxygen,PDA,Nits,Phosphate,Silicate,COD,AOU,WaterMassNo
1,1,2011-07-02T22:01,-97.119,21.998,973,8.8,27.524,36.527,4.517,23.700718,0.12,0.22,2.1,76.5,0,1
1,1,2011-07-02T22:01,-97.119,21.998,973,49.8,22.34,36.508,4.98,25.27378,0.15,0.2,1.5,51,0,2
1,1,2011-07-02T22:01,-97.119,21.998,973,72.2,21.274,36.483,4.316,25.555458,2.45,0.2,2.2,67,29.9898,2
1,1,2011-07-02T22:01,-97.119,21.998,973,98.6,19.66,36.451,3.48,25.967846,8.41,0.5,3.4,45.3,73.0058,2
1,1,2011-07-02T22:01,-97.119,21.998,973,148,17.229,36.25,2.644,26.429681,15.77,0.9,6.1,61,120.3135,3
1,1,2011-07-02T22:01,-97.119,21.998,973,250.5,13.157,35.666,2.506,26.889326,22.4,1.4,10.4,42.5,147.2905,4
1,1,2011-07-02T22:01,-97.119,21.998,973,300.5,11.972,35.489,2.48,26.987051,25.19,1.63,12.7,56.7,155.1927,4
1,1,2011-07-02T22:01,-97.119,21.998,973,398.9,9.824,35.194,2.472,27.146399,28.35,1.93,16.2,53.7,168.6115,4.5
1,1,2011-07-02T22:01,-97.119,21.998,973,600.4,7.258,34.945,2.815,27.352511,29.61,2.04,21.2,46.3,170.7097,5
1,1,2011-07-02T22:01,-97.119,21.998,973,801.8,5.759,34.912,3.46,27.527913,28.58,2.05,26.2,39.7,153.2604,5
1,1,2011-07-02T22:01,-97.119,21.998,973,949.9,5.071,34.931,3.925,27.627037,27.11,1.86,27,48.8,138.0825,6
1,2,2011-07-03T05:22,-96.709,23.011,1791,10.1,28.437,36.638,4.386,23.484001,0,0.632,1.552,58.8,1.6307,1
1,2,2011-07-03T05:22,-96.709,23.011,1791,18.8,28.441,36.636,4.385,23.481859,0,0.162,1.954,73.4,1.6704,1
1,2,2011-07-03T05:22,-96.709,23.011,1791,50.9,22.896,36.549,5.063,25.145074,0,0.194,4.051,68.8,0,2
1,2,2011-07-03T05:22,-96.709,23.011,1791,74.3,21.994,36.541,4.771,25.398389,0.077,0.312,1.496,69.2,7.2963,2
1,2,2011-07-03T05:22,-96.709,23.011,1791,98.9,21.469,36.531,4.347,25.539344,1.21,0.199,2.833,72.9,27.8343,2
1,2,2011-07-03T05:22,-96.709,23.011,1791,148.2,19.439,36.445,3.379,26.023591,8.377,0.47,3.346,52.7,78.3757,2
1,2,2011-07-03T05:22,-96.709,23.011,1791,248.3,14.875,35.924,2.597,26.725725,19.584,1.029,7.911,51.4,134.0986,3
1,2,2011-07-03T05:22,-96.709,23.011,1791,298.3,13.149,35.663,2.535,26.890191,22.349,1.447,9.615,47.9,146.1104,4
1,2,2011-07-03T05:22,-96.709,23.011,1791,393.3,10.707,35.309,2.464,27.082893,27.532,1.811,13.87,43.6,163.4877,4
1,2,2011-07-03T05:22,-96.709,23.011,1791,593.8,7.475,34.957,2.761,27.330833,31.406,1.858,21.441,46.4,171.5757,5
1,2,2011-07-03T05:22,-96.709,23.011,1791,793.5,5.74,34.914,3.475,27.531383,29.554,2.529,27.057,43.1,152.7339,5
